,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo
55,56,89,"279,304-A,427",06/02/2017,2017-06-02,City Ropar,1900-01-06,19:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,"Near New Bridge ,Ropar",1,0,0,30.971887,76.531537,Muncipality Road,Muncipality Road,Urban,"30.971887,76.531537"
56,57,95,"279, 304-A ",06/05/2017,2017-06-12,City Ropar,1900-01-02,08:30:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,"New Bus/Truck stand,Ropar",1,0,0,30.982347,76.522878,NH,NH-103A,Urban,"30.982347, ,76.522878"
57,58,96,"279, 337, 338, 427",06/10/2017,2017-06-12,City Ropar,1900-01-07,14:40:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,"Near new byepass ,Ropar",0,0,1,30.947276,76.518252,ODR,ODR-20,Urban,"30.947276, ,76.518252"
58,59,107,"279, 304-A, 427",06/27/2017,2017-06-27,City Ropar,1900-01-03,19:00:00,Unknown,0,0,0,Car/Jeep/Van,2,0,0,Sideswipe ,1,Mid Block,Over Speeding,"Morinda chownk,Byepass Ropar",2,0,0,30.964385,76.534714,Link Road,Link Road,Rural,"30.964385,, 76.534714"
59,60,110,"279, 337, 427",06/13/2017,2017-06-30,City Ropar,1900-01-03,22:00:00,Car/Jeep/Van,0,0,0,Other,0,1,0,Sideswipe ,0,Intersection,Over Speeding,"Near Forest Dept  Office, Ropar ",0,1,0,30.978542,76.526784,Muncipality Road,Muncipality Road,Urban,"30.978542,76.526784"
60,61,115,"279, 304-A",06/29/2017,2017-07-10,City Ropar,1900-01-05,20:00:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Intersection,Over Speeding,"Nera Miltary canteen ,Ropar ",1,0,0,30.963473,76.532531,NH,NH-103A,Urban,"30.963473,76.532531"
61,62,121,"279, 304-A, 427",07/15/2017,2017-07-15,City Ropar,1900-01-07,11:00:00,Unknown,0,0,0,Two Wheeler,1,0,0,Head on,1,Intersection,Over Speeding,"Near IIT river bridge, Ropar",1,0,0,30.974788,76.498955,ODR,ODR-20,Urban,"30.974788,76.498955"
62,63,148,"279, 304-A",08/24/2017,2017-09-06,City Ropar,1900-01-05,07:00:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near railway station Ropar,1,0,0,30.971962,76.532885,NH,NH-103A,Urban,"30.971962,76.532885"
63,64,169,"279, 304-A, 337",10/07/2017,2017-10-08,City Ropar,1900-01-07,20:00:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near T-Point DC office Ropar,1,0,0,30.982118,76.519865,ODR,ODR-11,Urban,"30.982118,76.519865"
64,65,173,"279, 304-A, 427",10/11/2017,2017-10-12,City Ropar,1900-01-04,20:30:00,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Mid Block,Over Speeding,Ropar Chamkaur Sahib link road Near bhai Himat singh Guruduara Ropar,1,0,0,30.954205,76.52941,ODR,ODR-22,Urban,"30.954205, ,76.52941"
65,66,174,"279, 304-A, 427, 337",10/14/2017,2017-10-14,City Ropar,1900-01-07,08:15:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Approaching from wrong side,Near By pass ropar,1,0,0,30.947276,76.518252,ODR,ODR-20,Urban,"30.947276, ,76.518252"
66,67,178,"279, 304-A, 427",10/18/2017,2017-10-19,City Ropar,1900-01-04,20:30:00,Unknown,0,0,0,Two Wheeler,1,0,0,Hit from back,1,Intersection,Over Speeding,Vill Nanakpura turn Rupnagar,1,0,0,30.97696,76.535184,NH,NH-205,Urban,"30.97696,76.535184"
67,68,180,"279, 304-A, 427",10/19/2017,2017-10-20,City Ropar,1900-01-05,13:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from back,0,Intersection,Over Speeding,Near PS Sadar Ropar,1,0,0,30.97695,76.535187,NH,NH-205,Urban,"30.97695,76.535187"
68,69,183,"279, 304-A, 427",10/24/2017,2017-10-24,City Ropar,1900-01-03,08:30:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit from back,0,Intersection,Over Speeding,New Shampura colony Rupnagar,1,0,0,30.964594,76.506385,ODR,ODR-20,Urban,"30.964594,76.506385"
69,70,189,"279, 337, 338, 427",10/31/2017,2017-11-02,City Ropar,1900-01-03,18:15:00,Tractor-Trolley,0,0,0,Two Wheeler,0,1,0,Hit from back,1,Mid Block,Over Speeding,Near drug addiction centre katli road Rupnagar,0,1,0,30.9446324,76.5245254,ODR,ODR-08,Urban,"30.9446324,76.5245254"
70,71,196,"279, 304-A",11/19/2017,2017-11-19,City Ropar,1900-01-01,11:15:00,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit from back,1,Intersection,Over Speeding,Old bus stand rupnagar,1,0,0,30.966462,76.533348,NH,NH-103A,Urban,"30.966462, ,76.533348"
71,72,203,"279, 304-A ",11/24/2017,2017-12-01,City Ropar,1900-01-06,09:30:00,Car/Jeep/Van,0,0,0,Pedestrian,1,1,0,Hit from back,1,Intersection,Over Speeding,Near PS Sadar Ropar,1,1,0,30.97695,76.535187,NH,NH-205,Urban,"30.97695,76.535187"
72,73,212,"279, 337, 427 ",12/09/2017,2017-12-10,City Ropar,1900-01-07,14:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,1,0,Hit from back,0,Mid Block,Over Speeding,Near 132KV Sub Station rupngar,0,1,0,30.943738,76.534264,NH,NH-205,Urban,"30.943738,76.534264"
73,74,214,"279, 337, 427",12/14/2017,2017-12-15,City Ropar,1900-01-05,18:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Sideswipe ,1,Intersection,Over Speeding,Sant Karan Singh Academy Chowk,0,1,0,30.964468,76.505952,ODR,ODR-20,Urban,"30.964468,76.505952"
74,75,1,"279, 304-A, 337, 427",12/31/2017,2018-01-01,City Ropar,1900-01-01,17:00:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from back,1,Intersection,Over Speeding,Bhatha sahib chowk rupnagar,1,0,0,30.9681843,76.5235027,ODR,ODR-11,Urban,"30.9681843,76.5235027"
75,76,2,"279, 337, 427, 338 & 177 MV ACT",12/30/2017,2018-01-01,City Ropar,1900-01-07,00:00:00,Two Wheeler,0,0,0,Two Wheeler,0,1,0,Sideswipe ,0,Intersection,Over Speeding,"Near Distict Jail ,Ropar",0,1,0,30.968154,76.5235146,ODR,ODR-11,Urban,"30.968154,76.5235146"
76,77,7,"279,337,338,427,304-A ",01/13/2017,2017-01-15,Morinda,1900-01-06,23:30:00,Car/Jeep/Van,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Intersection,Approaching from wrong side,T-Ponit Saheri,1,0,0,30.814758,76.502578,ODR,ODR-08,Rural,"30.814758,76.502578"
77,78,9,"279,337,304-A,427 ",01/15/2017,2017-01-18,Morinda,1900-01-01,15:30:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Near Namdhari Workshop Marouli Kalan,1,0,0,30.786769,76.519188,SH,SH-08,Rural,"30.786769,76.519188"
78,79,30,"279,337,338,427,304-A ",02/20/2017,2017-02-21,Morinda,1900-01-02,20:30:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Over Speeding,Near Village Marouli Kalan,1,0,0,30.785866,76.521246,SH,SH-08,Rural,"30.785866,76.521246"
79,80,32,"279, 337, 338, 427",02/22/2017,2017-02-23,Morinda,1900-01-04,18:30:00,Car/Jeep/Van,0,0,0,Two wheeler,0,1,0,Head on,0,Intersection,Over Speeding,Chunni Chownk Morinda,0,1,0,30.775664,76.503127,NH,NH-95,Rural,"30.775664,76.503127"
80,81,35,"279,337,304-A,427 ",02/26/2017,2017-02-26,Morinda,1900-01-01,14:25:00,Bus/Truck,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Approaching from wrong side,Sirhind Lights Morinda,1,0,0,30.784421,76.481131,NH,NH-95,Rural,"30.784421,76.481131"
81,82,38,"279, 337, 338, 427",04/03/2017,2017-06-03,Morinda,1900-01-02,15:00:00,Tractor-Trolley,0,0,0,Two wheeler,0,1,0,Head on,1,Intersection,Approaching from wrong side,Near Village Ballan Kalan Road to Udhampur Nalan,0,1,0,30.803366,76.446711,Link Road,Link Road,Rural,"30.803366,76.446711"
82,83,39,"279,304-A ",09/03/2017,2017-09-03,Morinda,1900-01-01,18:50:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Dhiman Palace,1,0,0,30.790658,76.508403,SH,SH-08,Urban,"30.790658,76.508403"
83,84,44,"279,337,338,427,304-A ",03/22/2017,2017-03-22,Morinda,1900-01-04,18:50:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Approaching from wrong side,SUGAR MILL ROAD MORINDA,1,0,0,30.795497,76.49874,ODR,ODR-08,Urban,"30.795497,76.49874"
84,85,45,"279,337,304-A",03/18/2017,2017-03-24,Morinda,1900-01-07,21:00:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Approaching from wrong side,MORINDA BY-PASS MORINDA,1,0,0,30.776167,76.501743,NH,NH-95,Rural,"30.776167,76.501743"
85,86,60,"279, 338, 427",04/28/2017,2017-05-01,Morinda,1900-01-06,21:00:00,Two Wheeler,0,0,0,Two wheeler,0,1,0,Head on,1,Mid Block,Approaching from wrong side,Service Station Village Kanjla,0,1,0,30.797272,76.480711,Link Road,Link Road,Rural,"30.797272,76.480711"
86,87,74,"279,427,304-A ",05/13/2017,2017-05-24,Morinda,1900-01-07,20:30:00,Two Wheeler,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Approaching from wrong side,Sohi Petrol Pump Chatamla,1,0,0,30.814163,76.549625,MDR,MDR-31,Rural,"30.814163,76.549625"
87,88,81,"279,304-A,427 ",06/04/2017,2017-06-05,Morinda,1900-01-01,21:55:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Approaching from wrong side,Global Enclave Marauli Kalan,1,0,0,30.788726,76.579024,Link Road,Link Road,Rural,"30.788726,76.579024"
88,89,83,"279,304-A,427,338 ",06/10/2017,2017-06-10,Morinda,1900-01-07,15:30:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Intersection,Approaching from wrong side,Near Vill. Chatamla,1,0,0,30.805562,76.543251,Link Road,Link Road,Rural,"30.805562,76.543251"
89,90,108,"279,304-A ",08/01/2017,2017-08-02,Morinda,1900-01-03,19:30:00,Unknown,0,0,0,Two wheeler,1,0,0,Head on,0,Mid Block,Approaching from wrong side,Near Palm Enclave Morinda,1,0,0,30.777564,76.502331,NH,NH-95,Rural,"30.777564,76.502331"
90,91,138,"279, 337, 427, 338",09/14/2017,2017-09-15,Morinda,1900-01-05,19:30:00,Bus/Truck,0,0,0,Two wheeler,0,1,0,Head on,1,Intersection,Approaching from wrong side,Between Rattangarh And Bhateri Vilage,0,1,0,30.78402,76.498436,Muncipality Road,Muncipality Road,Urban,"30.78402,76.498436"
91,92,144,"279, 337",09/14/2017,2017-10-02,Morinda,1900-01-05,21:00:00,Bus/Truck,0,0,0,Two wheeler,0,0,1,Head on,1,Intersection,Approaching from wrong side,Near grain Market Morinda,0,0,1,30.790361,76.490457,SH,SH-08,Urban,"30.790361,76.490457"
92,93,151,"279,304-A ",10/14/2017,2017-10-15,Morinda,1900-01-07,22:20:00,Car/Jeep/Van,0,0,0,Two wheeler,1,0,0,Head on,0,Intersection,Approaching from wrong side,T-Point Kurali Road Morinda,1,0,0,30.790658,76.508403,SH,SH-08,Urban,"30.790658,76.508403"
93,94,156,"279, 338, 427",05/25/2017,2017-10-25,Morinda,1900-01-05,14:30:00,Car/Jeep/Van,0,0,0,Two wheeler,0,1,0,Head on,0,Intersection,Approaching from wrong side,Near Village Kalaran,0,1,0,30.785866,76.521246,SH,SH-08,Rural,"30.785866,76.521246"
